source,dest,weight
10154379,10138647,0.301
10154379,10138451,0.301
10154379,10220349,0.522
10154379,10201843,0.301
10154379,10052133,0.097
10154379,10014665,0.046
10154379,10186123,0.699
10154379,10188545,0.522
10154379,10132537,0.398
10154379,10239047,0.522
10154379,10052727,0.222
10154379,10133089,0.301
10154379,10246523,0.522
10154379,10036511,0.222
10154379,10241355,0.222
10154379,10182209,0.301
10154379,10132311,0.522
10154379,10242345,0.398
10154379,10198177,0.522
10154379,10017063,0.222
10154379,10234329,0.046
10154379,10019785,0.699
10154379,10187101,0.222
10154379,10145303,1
10154379,10143683,0.398
10154379,10089373,0.046
10154379,10226147,0.301
10154379,10231171,0.522
10154379,10179287,0.522
10154379,1026703,0.398
10154379,10117279,0.522
10154379,10200171,0.522
10154379,10064165,0.222
10154379,10059979,0.522
10154379,10224545,0.699
10154379,10202429,0.097
10154379,10089411,0.222
10018881,10256505,0.398
10018881,10260323,0.522
10018881,10202529,0.398
10018881,10167821,0.522
10018881,10267743,0.398
10018881,10003161,0.699
10018881,10239333,0.522
10018881,10219791,0.398
10018881,10030885,0.699
10018881,10274867,0.222
10018881,10261263,0.222
10018881,10016737,0.398
10018881,10096239,0.222
10018881,10203363,0.301
10018881,10033701,0.398
10018881,10036339,0.522
10018881,10148139,0.522
10018881,10001781,1
10018881,10202723,0.222
10018881,10032551,0.522
10018881,10202495,0.699
10018881,10013051,0.222
10018881,10015805,0.398
10018881,10185563,0.301
10018881,10235317,0.398
10018881,10038611,0.301
10018881,10111007,0.301
10018881,10038915,0.699
10018881,10105897,0.522
10018881,10066969,0.398
10018881,10254403,0.301
10018881,10019805,1
10018881,10098419,0.699
10018881,10064523,0.301
10018881,10131843,0.699
10018881,10163823,0.522
10018881,10012981,0.699
10018881,10053889,0.699
10018881,10266919,0.398
10018881,10127795,100
10018881,10070587,0.398
10018881,10014677,0.522
10018881,10135081,0.301
10018881,10106775,0.398
10018881,10110795,0.097
10018881,10203157,0.522
10018881,10185485,0.222
10018881,10147441,0.301
10018881,10232995,0.301
10018881,10207049,0.699
10018881,10007783,0.398
10018881,10089365,0.522
10018881,10127933,0.699
10018881,10224957,0.522
10018881,10024581,0.522
10018881,10259619,0.398
10018881,10073657,0.699
10018881,10188361,0.301
10018881,10073621,0.222
10018881,10147725,0.155
10018881,10161967,0.046
10018881,10146991,0.398
10018881,10040095,0.398
10018881,10206749,0.097
10018881,10136987,0.398
10018881,10154915,0.222
10018881,10266623,0.222
10018881,10248959,0.301
10018881,10196835,0.155
10018881,1015379,100
10018881,10017743,0.222
10018881,10138075,0.155
10018881,10239557,100
10018881,10145323,0.522
10018881,10255909,0.398
10018881,10243471,0.522
10018881,10207059,0.522
10018881,10182641,0.222
10018881,10003597,0.398
10018881,10231031,0.398
10018881,10213041,0.398
10018881,1010450,0.398
10018881,10154057,0.398
10018881,10012797,0.699
10018881,10238927,0.301
10018881,10186489,0.301
10018881,10203013,0.398
10018881,10232527,0.522
10018881,10182617,0.301
10018881,10214827,0.301
10006013,1009000,0.301
10006013,10015863,0.522
10006013,10181593,0.301
10006013,10075291,0.398
10006013,10099545,0.301
10006013,10128911,0.398
10006013,10017021,100
10006013,10039477,0.699
10006013,1018312,0.301
10006013,10152839,0.398
10006013,10075453,0.301
10006013,10017593,0.398
10006013,10238709,0.301
10006013,10013405,0
10006013,10186023,0.222
10006013,10137123,0.398
10006013,10038933,0.301
10006013,10052541,0.301
10006013,10268215,0.522
10006013,10247259,0.222
10006013,10060909,0.699
10006013,10224661,100
10006013,10256971,0.398
10006013,10060341,0.155
10006013,10156751,0.301
10006013,10148651,0.398
10006013,10251919,0.301
10006013,10012769,0.301
10006013,10003051,0.398
10006013,10256983,0.522
10006013,10137863,0.398
10006013,10004501,0.155
10006013,10235405,0.699
10006013,10128055,0.222
10006013,10154157,0.398
10006013,10256923,0.398
10006013,10046841,0.398
10006013,10237415,0.222
10006013,10203391,0.699
10006013,10225009,0.155
10006013,10185273,0.301
10006013,10148483,0.301
10006013,10027365,100
10006013,10185677,0.398
10006013,10061057,1
10006013,10029991,0.155
10006013,10030039,0.398
10006013,10050249,0.301
10006013,10089391,0.155
10006013,10144289,0.398
10006013,10019069,0.522
10006013,10248503,0.699
10006013,10149603,0.155
10006013,10013501,0.398
10006013,10036631,0.699
10006013,10217045,0.155
10059829,10075921,0.097
10059829,10193895,0.398
10059829,10136043,0.398
10059829,10245035,0.522
10059829,10013495,0.522
10059829,10206735,0.222
10059829,10027301,0.301
10059829,10152799,0.222
10059829,10062173,0.699
10059829,10266925,0.222
10059829,10231149,0.522
10059829,10188255,0.301
10059829,10051929,0.222
10059829,10089393,0.522
10059829,10179043,0.155
10059829,10134521,0.699
10059829,1027080,0.398
10059829,10216763,0.301
10059829,10137473,0.522
10059829,10263929,0.155
10059829,10004155,0.699
10059829,10261181,0.301
10059829,10143867,0.155
10059829,10146821,0.398
10059829,10029035,1
10059829,1026733,0.222
10059829,10030269,0.222
10059829,10166485,0.222
10059829,10099533,0.522
10059829,10173115,0.222
10059829,10163947,0.097
10059829,10065493,0.222
10059829,10106589,0.522
10059829,10247235,0.097
10059829,10019005,0.222
10059829,10032579,0.301
10059829,10207379,0.301
10059829,10202467,0.222
10059829,10030153,0.301
10059829,10129599,0.398
10059829,10159339,0.398
10059829,10255545,0.522
10059829,10048365,0.699
10059829,10162095,0.398
10059829,10143707,0.398
10040089,10247245,1
10040089,10133973,0.301
10040089,10186501,0.301
10040089,10260011,0.398
10040089,10245157,0.699
10040089,10055911,0.699
10040089,10254049,0.522
10040089,10137185,0.398
10040089,10028937,0.398
10040089,10266625,0.522
10040089,10028555,0.222
10040089,10161985,0.301
10040089,10001497,0.155
10040089,10166675,0.699
10040089,10132517,0.301
10040089,10013539,0.301
10040089,10138367,0.522
10040089,10115479,0.097
10040089,10006003,0.522
10040089,10054553,0.222
10040089,10248589,0.301
10040089,10255377,0.155
10040089,10247209,0.301
10040089,10248159,0.222
10040089,10173181,0.301
10040089,10009715,0.301
10040089,10012775,0.398
10040089,10245093,0.301
10040089,10268429,0.222
10040089,10003855,0.398
10040089,10052233,0.398
10040089,10231811,0.301
10040089,10255379,0.398
10040089,10206867,0.699
10040089,10196025,0.398
10040089,10181833,0.301
10040089,10017761,0.398
10040089,10013641,0.398
10040089,10222929,0.398
10040089,10256921,0.398
10040089,10012371,0.398
10040089,10062273,0.398
10040089,10202463,0.155
10040089,10207067,0.046
10040089,10017363,0.398
10040089,10207445,0.522
10040089,10161227,0.522
10040089,10213429,0.522
10040089,10207559,0.398
10040089,10162121,0.398
10040089,10071591,0.398
10040089,10021555,0.522
10040089,10247391,0.522
10040089,10063209,0.222
10040089,10166635,0
10040089,1010546,0.398
10040089,10098517,0.222
10040089,10262259,0.699
10040089,10073637,0.301
10040089,10054893,0.222
10040089,10185353,0.155
10040089,10203285,0.522
10040089,10127291,0.522
10040089,10136035,0.097
10040089,10205805,0.699
10040089,10009671,0.522
10040089,10213409,0
10040089,10002341,0.398
10040089,10213377,0.522
10040089,1005137,0.301
10040089,10255671,0.522
10040089,10237311,0.522
10040089,10028741,1
10040089,10185967,100
10040089,10264633,0.155
10040089,10139541,0.301
10040089,10056573,0.398
10040089,10117261,0.522
10040089,10019289,0.522
10040089,10028113,0.398
10252619,10203367,0.699
10252619,10110737,0.522
10252619,10235649,0.699
10252619,10224305,0.155
10252619,10182401,0.398
10252619,10198207,0.699
10252619,10242449,0.398
10252619,10098491,0.301
10252619,10135111,0.222
10252619,10104841,1
10252619,10255989,0.522
10252619,10080485,0.699
10252619,10256827,0.301
10252619,10206639,0.222
10252619,1026845,0.398
10252619,10207619,0.522
10252619,10154575,0.398
10252619,10238469,0.699
10252619,10174335,0.222
10252619,10187157,0.222
10252619,10060653,0.155
10252619,10186767,0.699
10252619,10173183,0.222
10252619,10184939,0.522
10252619,10256697,0.699
10252619,10185969,0.301
10252619,10213525,0.222
10252619,10124579,0.398
10252619,10051953,0.097
10252619,10244699,0.699
10252619,10236467,0.398
10252619,10205645,0.522
10252619,10144967,0.522
10252619,10035881,0.301
10252619,10137487,0.155
10252619,10115279,0.522
10252619,10235307,0.222
10252619,10170319,0.222
10252619,10208751,0.155
10252619,10128417,0.398
10252619,10012729,0.522
10252619,10262083,0.699
10252619,10255057,0.301
10252619,10117173,0.522
10252619,10256587,0.398
10252619,10147383,0.301
10252619,10011163,0
10252619,10161943,0.522
10252619,10009773,0.398
10166589,10185367,0.222
10166589,10135797,0.522
10166589,10256499,0.301
10166589,10185673,0.398
10166589,10073437,0.222
10166589,10144955,0.522
10166589,10185559,0.222
10166589,10115233,0.398
10166589,10205425,0.522
10166589,10158707,0.398
10166589,10066951,0.398
10166589,10143757,0.699
10166589,10051337,0.522
10166589,10236153,0.398
10166589,10202121,0.699
10166589,10255615,0.398
10166589,10036631,0.097
10166589,10101619,0.097
10166589,10161101,0.301
10166589,10246037,0.522
10166589,10255633,0.301
10166589,10155851,0.301
10166589,10186199,0.155
10166589,10092139,0.155
10166589,10016283,0.301
10166589,10145271,1
10166589,10028277,0.155
10166589,10127713,0.522
10166589,10225943,0.522
10166589,10017737,0.522
10166589,10217495,0.522
10166589,10256901,0.522
10166589,10136749,0.301
10166589,10144511,0.222
10166589,10169039,0.398
10166589,10098807,0.522
10166589,10274469,0.522
10166589,10162001,0.522
10166589,10261291,0.398
10166589,10185417,0.699
10166589,10247649,0.222
10166589,10137591,0.699
10166589,10249369,1
10166589,10185037,0.155
10166589,10052151,0.522
10166589,10052017,0.398
10166589,10217035,0.522
10166589,10244177,0.097
10166589,10153237,0.398
10166589,10266005,0.222
10166589,10213301,0.398
10166589,10266521,0.097
10166589,10111111,0.097
10166589,10144289,0.699
10166589,10238407,0.301
10166589,1005137,0.222
10166589,10181635,0.301
10166589,10199967,0.222
10166589,10252425,0.522
10166589,10138739,0.398
10166589,10242629,0.222
10166589,10132015,0.522
10166589,10161921,0.398
10166589,10098569,0.398
10166589,10261181,0.522
10166589,10213223,0.699
10166589,10274339,0.222
10166589,10028137,0.522
10166589,10173325,0.301
10166589,10012863,0.699
10166589,10002103,0.699
10166589,10136431,0.699
10166589,10252439,0.398
10166589,10260135,0.522
10166589,10013487,0.222
10166589,10033165,0.398
10166589,1015439,0.398
10166589,10029927,0.301
10166589,10213075,0.398
10166589,10226147,0.522
10166589,10155075,0.398
10166589,10185315,0.301
10166589,10164461,0.398
10166589,10181883,100
10166589,10153397,0.699
10166589,10187029,0.222
10166589,10065383,0.398
10166589,10073389,0.398
10166589,10255047,0.398
10166589,10150077,1
10166589,10264171,1
10166589,10185891,0.155
10166589,10231447,0.398
10127115,10247137,0.398
10127115,10035405,0.046
10127115,10028555,0.522
10127115,10039489,1
10127115,10039015,0.398
10127115,10144293,0.222
10127115,10121071,0.155
10127115,10032821,0.398
10127115,10134949,0.222
10127115,10173333,0.699
10127115,10260033,0.398
10127115,10009693,0.398
10127115,10041871,0.522
10127115,10222651,0.301
10127115,10076055,0.046
10127115,10166779,0.301
10127115,10166833,0.699
10127115,10236839,0.398
10127115,10064541,1
10127115,10217961,0.398
10127115,10246155,0.398
10127115,10060227,0.398
10127115,10054047,0.522
10127115,10017413,0.522
10127115,10105931,0.398
10127115,10072357,0.301
10127115,10131619,0.522
10127115,10052717,0.522
10127115,10019821,0.699
10127115,10189535,0.398
10127115,10000535,0.398
10127115,10019067,0.398
10127115,10249491,0.097
10127115,10028275,0.699
10127115,10234331,0.522
10127115,10039387,0.398
10127115,10212887,0.301
10127115,10054917,0.301
10127115,10244605,0.222
10127115,10207077,0.301
10127115,10080651,0.155
10127115,10115277,0.301
10127115,10180275,0.398
10127115,10058459,0.046
10127115,10054551,0.155
10127115,10207619,0.398
10127115,10050791,0.301
10127115,10247353,0.222
10127115,10089301,0.222
10127115,10203317,0.522
10127115,1027019,0.522
10127115,10185781,0.699
10127115,10074639,0.155
10127115,10137891,0.301
10127115,10197633,0.699
10127115,10019615,0.301
10127115,1000795,0.522
10127115,10216695,0.301
10127115,10036591,0.301
10127115,10151409,0.222
10127115,10243959,0.155
10127115,10259285,0.522
10127115,10236489,0.398
10127115,10029233,0.522
10127115,1012708,0.155
10127115,10243509,0.301
10127115,10260243,0.301
10127115,10145021,0.398
10127115,10195981,0.301
10127115,10235421,0.155
10127115,10261963,0.155
10127115,10032495,0.398
10127115,10151671,0.398
10127115,10028841,0.522
10127115,10138451,0.222
10127115,10052327,0.222
10127115,10161853,0.301
10127115,10124777,0.222
10127115,10124641,0.522
10052305,10019085,0.222
10052305,10001003,0.097
10052305,10148955,0.301
10052305,10231419,0.097
10052305,10105693,0.699
10052305,10030101,0.522
10052305,10101619,0.522
10052305,10146499,0.522
10052305,10234517,0.398
10052305,10235339,0.046
10052305,10072499,0.398
10052305,10181721,0.155
10052305,10239557,0.522
10052305,10234511,0.522
10052305,10109001,0.301
10052305,10029021,0.222
10052305,10070533,0.398
10052305,10145269,0.222
10052305,10177971,0.301
10052305,10024799,0.398
10052305,10187181,0.522
10052305,10131909,0.155
10052305,10156075,0.398
10052305,10266023,0.097
10052305,10146513,0.222
10052305,10262289,0.699
10052305,10217011,0.301
10052305,10129555,0.222
10052305,10092105,0.398
10052305,10016969,0.398
10052305,10146519,0.301
10052305,10202927,0.222
10052305,10075943,0.699
10052305,10038513,0.301
10052305,10074609,0.699
10052305,10238549,0.301
10052305,10248331,100
10052305,10154085,0.522
10052305,10125229,0.398
10052305,10197467,0.301
10052305,10136753,0.301
10052305,10203469,0.522
10052305,10137263,0.301
10052305,10241783,0.522
10052305,10147309,0.398
10052305,10212857,0.522
10052305,10000717,0.222
10052305,10148873,0.046
10052305,10080177,0.155
10052305,10148635,0.398
10052305,10099469,0.301
10052305,10068571,0.522
10052305,10006059,0.398
10052305,10253007,0.301
10052305,10185999,0.522
10052305,10053737,0.301
10052305,10136551,0.699
10052305,10017079,0.301
10052305,10266731,100
10052305,10246425,0.301
10052305,10223013,1
10052305,10274503,0.398
10052305,10213185,0.398
10052305,10138419,0.301
10052305,10063883,0.301
10052305,10036909,0.699
10052305,10202033,0.301
10052305,10254045,0.398
10052305,10247397,0.155
10052305,10205825,0.301
10052305,10263813,0.522
10052305,10274781,0.398
10052305,10132475,0.522
10052305,10033719,0.699
10052305,1015476,0.301
10052305,10145409,0.398
10052305,10155973,0.398
10052305,10205415,0.301
10052305,10213359,100
10052305,10148361,0.097
10052305,10052691,0.222
10052305,10072929,0.522
10052305,10133345,0.155
10052305,10190807,0.522
10052305,10152431,0.155
10052305,10252455,0
10052305,10246477,0.398
10052305,10002833,0.398
10052305,10212883,0.222
10052305,10252887,0.522
10052305,10149241,0.522
10052305,10138763,0.097
10052305,10040847,0.301
10052305,10178019,0.398
10052305,10106915,0.522
10052305,10253767,0.398
10052305,10235727,0.222
10052305,10131843,0.398
10052305,10121039,0.522
10052305,10156291,0.522
10052305,10260123,0.301
10052305,10213179,1
10052305,10098373,0.522
10052305,10236231,0.301
10052305,10028797,0.398
10052305,10207099,0.222
10052305,10187119,0.155
10052305,10138467,0.046
10052305,10247325,0.699
10052305,10001887,0.155
10052305,10017427,0.699
10258877,10248001,0.522
10258877,10206021,0.301
10258877,10106291,0.398
10258877,10039401,0.699
10258877,10248151,0.301
10258877,10138663,0.522
10258877,10236025,0.301
10258877,10005971,0.301
10258877,10237203,0.155
10258877,10182315,0.522
10258877,10137357,0.301
10258877,10185611,0.155
10258877,10242705,0.522
10258877,10132017,0.222
10258877,10016969,0.301
10258877,10235343,0.097
10137463,10019255,0.699
10137463,10019797,0.398
10137463,10040847,0.398
10137463,10173331,0.398
10137463,10134969,0.222
10137463,10013759,0.699
10137463,10202597,0.301
10137463,10234305,0.155
10137463,10213455,0.398
10137463,10135427,0.522
10137463,10207163,0.398
10137463,10238823,0.222
10137463,10265325,0.222
10137463,10214003,0.301
10137463,10138039,0.522
10137463,10030021,0.398
10137463,10063557,0.301
10137463,10133063,0.155
10137463,10220787,0.301
10137463,10030743,0.222
10137463,10248883,0.301
10137463,10253265,0.301
10137463,10247229,0.398
10137463,10231031,0.699
10137463,10147215,0.301
10137463,10237957,0.046
10137463,10124891,0.522
10137463,10009675,0.301
10137463,10244425,0.301
10137463,10052227,0.301
10137463,10202417,0.222
10137463,10198123,0.699
10137463,10012349,0.699
10137463,10206961,0.398
10137463,10115575,0.097
10137463,10029357,0.301
10137463,10182283,0.699
10137463,10117227,0.301
10137463,10016997,0.046
10137463,1008976,0.398
10137463,10073401,0.522
10137463,1014075,0.222
10137463,10186819,0.398
10137463,10052659,0.398
10137463,10017781,0.222
10137463,10206929,0.398
10137463,10194879,0.398
10137463,10268415,0.699
10137463,10001003,0.046
10137463,1000497,0.398
10137463,10247257,0.222
10137463,10241801,0.097
10137463,10138013,100
10137463,10273997,0.301
10137463,10144353,0.222
10137463,10252693,0.699
10137463,10068639,0.699
10137463,1026719,0.046
10137463,10051243,0.398
10137463,10137825,0.398
10137463,10241659,0.222
10137463,10005247,0.301
10137463,10105897,0.222
10075725,10036271,0.398
10075725,10019257,0.398
10075725,10265383,0.097
10075725,10187223,0.398
10075725,10138227,0.301
10075725,10004501,0.398
10075725,10155529,0.398
10075725,10145327,0.398
10075725,10241509,0.155
10075725,10235319,0.522
10075725,10013567,0.522
10246583,10033683,0.522
10246583,10036607,0.398
10246583,10013603,0.301
10246583,10138539,0.699
10246583,10041847,0.222
10246583,10050841,0.222
10246583,10239497,1
10246583,10004181,0.398
10246583,10203313,0.046
10246583,10064575,0.522
10246583,10146933,0.699
10246583,10137287,0.699
10246583,10239429,0.398
10246583,10180891,0.097
10246583,10260021,0.398
10186749,10058301,0.155
10186749,10137215,0.301
10186749,10041877,0.222
10186749,10029271,0.522
10186749,10127801,0.398
10186749,10115299,0.301
10186749,10244193,0.222
10186749,10151433,100
10186749,10018891,0.301
10186749,10099467,0.155
10186749,10224829,0.699
10186749,10207207,0.097
10186749,10054447,0.699
10186749,10134627,100
10186749,10201271,0.222
10186749,1024119,0.398
10186749,10147861,0.522
10186749,10148921,0.097
10186749,10182339,0.222
10186749,10254489,0.398
10186749,10255507,0.301
10186749,10216019,0.398
10186749,10154241,0.222
10186749,10051207,0.398
10186749,1027086,0.398
10186749,10134569,0.398
10186749,10132391,0.398
10186749,10063713,0.222
10186749,10260189,0.301
10186749,10258139,0.522
10186749,10253499,0.398
10186749,10163519,0.046
10186749,10185177,0.301
10186749,10208751,0.155
10186749,10052739,0.699
10186749,10071139,0.522
10186749,10151671,0.046
10186749,10027307,0.301
10186749,10105909,0.301
10186749,10050369,0.398
10186749,1004314,0.046
10186749,10185321,0.155
10186749,10162697,0.522
10186749,10029305,0.222
10186749,10224671,0.301
10186749,10129079,1
10186749,10159767,0.398
10186749,10162391,0.398
10186749,10186813,0.222
10186749,10012967,0.155
10186749,10185673,0.222
10186749,10256847,0.222
10186749,10242391,1
10186749,10213025,0.398
10186749,10247265,0.699
10186749,10080177,0.522
10186749,10176797,0.222
10186749,10062173,0.398
10186749,10108709,0.222
10186749,10137185,0.398
10186749,10028095,0.301
10186749,10260033,0.046
10186749,10019067,0.522
10186749,10181205,0.398
10186749,10263929,0.522
10186749,10176851,0.398
10186749,10207467,0.398
10186749,10198389,0.522
10186749,10027907,0.522
10186749,10013655,0.046
10186749,10188795,0.097
10186749,10196003,0.222
10186749,10233999,0.398
10186749,10252455,0.301
10186749,10248085,0.522
10186749,10259623,100
10186749,10039951,1
10186749,10117223,0.398
10186749,10184935,0.699
10186749,10234329,0.398
10186749,10033695,0.222
10186749,10135025,0.522
10186749,10245259,0.301
10186749,10137871,0.398
10186749,10025015,0.222
10186749,10232533,0.222
10186749,10002807,100
10186749,10202731,0.398
10186749,10095267,0
10186749,10036433,0.097
10186749,10185555,0.522
10186749,10247195,0.522
10186749,10253053,0.301
10186749,10208773,0.301
10186749,10206817,0.301
10186749,10182209,0.301
10186749,10030061,0.301
10186749,10070531,0.522
10206245,10021339,0.522
10206245,10036585,0.222
10206245,10075405,0.398
10206245,10005883,0.398
10206245,10145005,0.222
10206245,10243995,0.301
10206245,10134379,0.398
10206245,10243521,0.301
10206245,10216989,0.301
10206245,10265059,0.398
10206245,10148381,0.301
10206245,10121139,0.222
10206245,10207171,0.699
10206245,10207059,0.398
10206245,10002151,0.046
10206245,10052541,0.699
10206245,10176777,0.222
10206245,10041861,0.699
10206245,10019851,0.522
10206245,10157133,0.222
10206245,10032817,0.222
10206245,10003497,0.699
10206245,10052081,0.522
10206245,10202241,0.301
10206245,10035817,0.398
10206245,10261989,0.398
10206245,10117223,0.222
10206245,10153655,1
10206245,10185691,0.398
10206245,10024799,0.222
10206245,10032833,0.097
10206245,10237195,0.301
10206245,10247157,1
10206245,10132013,0.222
10206245,10135975,0.398
10206245,10206995,0.097
10206245,1026713,0.301
10206245,10154879,0.522
10206245,10132015,0.522
10206245,10016983,0.222
10206245,10029503,0.398
10206245,10161575,0.222
10206245,10166763,0.301
10206245,10173567,0.222
10206245,10072523,0.222
10206245,10143649,0.046
10206245,10254365,0.222
10206245,10013519,0.155
10206245,1026705,0.398
10206245,10121117,0.398
10206245,10080483,0.699
10206245,10073651,0.222
10206245,10012797,0.155
10206245,10136097,0.155
10206245,10064531,1
10206245,10136269,0.398
10206245,10099545,0.522
10206245,10185077,0.301
10206245,10039729,0.222
10206245,10071093,100
10206245,10006077,0.398
10206245,10128951,0.398
10206245,10127233,0.522
10206245,10236165,1
10206245,10106163,1
10206245,10115251,0.699
10206245,10232253,0.398
10206245,10030061,0.301
10206245,10170161,0.301
10206245,10051317,0.301
10206245,10029989,0.301
10206245,10252927,0.522
10206245,10185911,0.398
10206245,10145327,0.222
10206245,10245983,0.155
10206245,10256649,1
10206245,10247259,0.398
10206245,10158259,0.522
10206245,10173135,0.522
10206245,10132377,0.155
10206245,10234581,0.699
10206245,10261951,0.046
10206245,10135457,0.301
10206245,10203353,0.522
10206245,10248055,0.222
10206245,10003087,0.398
10206245,10019255,0.301
10206245,10127995,0.301
10206245,10106063,0.398
10206245,10182317,0.155
10206245,10051245,0.301
10206245,10012517,0.097
10206245,10021505,0.301
10206245,10000593,0.222
10206245,10195965,0.398
10206245,1015407,0.097
10206245,10134197,0.398
10206245,10239497,0.398
10206245,10256997,0.699
10206245,10255677,0.301
10206245,10029381,0.398
10206245,10189687,0.398
10206245,10202133,0.398
10206245,10075941,0.522
10206245,10213525,0.522
10206245,10147541,0.222
10206245,10051479,1
10206245,10189739,0.046
10206245,10017833,0.699
10206245,10135545,0.222
10206245,10052381,0
10206245,10152661,1
10206245,10245977,0.699
10206245,10187267,0.301
10206245,10208737,0.301
10206245,10248917,0.301
10206245,10224579,0.301
10089531,10080493,0.699
10089531,10247853,0.222
10089531,10186755,0.699
10089531,10036581,100
10089531,10050771,0.301
10089531,10187809,0.398
10089531,10186799,0.222
10089531,10134213,0.301
10089531,10186399,0.522
10089531,10169295,0.398
10089531,10135523,0.301
10089531,10054469,0.301
10089531,10247209,0.699
10089531,10188049,0
10089531,10202495,0.398
10089531,10032877,0.398
10089531,10115337,0.301
10089531,10096173,0.699
10089531,10013405,0.699
10089531,10131723,0.301
10089531,10017781,0.522
10089531,10237651,0.522
10089531,10186039,0.222
10089531,10135443,0.699
10089531,10028555,0.699
10089531,10161227,0.155
10089531,10144113,0.699
10089531,10185759,0.222
10089531,10245635,0.301
10089531,10145353,0.155
10089531,10014825,0.301
10089531,10225753,0.301
10089531,10013673,1
10089531,10155023,0.301
10089531,10080487,0.222
10089531,10185303,0.301
10089531,10137825,0.398
10089531,10245837,0.522
10089531,10231031,0.301
10089531,10024495,0.522
10193717,10264655,0.222
10193717,10268397,0.398
10193717,10156245,0.301
10193717,10242883,0.301
10193717,10138609,0.398
10193717,10136305,0.522
10193717,10115477,0.222
10193717,10064035,1
10193717,10030161,0.301
10193717,10027629,0.699
10193717,10246043,0.522
10193717,10235639,0.097
10193717,10064857,0.398
10193717,10131635,0.522
10193717,10256461,0.301
10193717,10244311,0.699
10193717,10187971,0.522
10193717,10187595,0.222
10193717,10178885,0.222
10193717,10145347,0.522
10193717,10185387,0.046
10193717,10009771,0.522
10193717,10212973,0.222
10193717,10190781,0.398
10193717,10080493,0.699
10193717,10134663,0.522
10193717,10142419,0.398
10193717,10266619,0.222
10193717,10155959,0.699
10193717,10153309,0.222
10193717,10168521,0.398
10193717,10135749,0.097
10193717,10052633,0.699
10193717,10247483,0.301
10193717,10041839,0.222
10193717,10199945,0.398
10193717,10213705,0.398
10193717,1005081,0.398
10193717,10024959,0.398
10193717,10180261,0.522
10193717,10224593,0.301
10193717,10238801,0.301
10193717,10154257,1
10193717,10033747,0.522
10193717,10052681,0.046
10193717,10247371,0.522
10193717,10236433,0.699
10193717,10003363,0.222
10193717,10151895,0.699
10193717,10174115,0.522
10193717,10091339,1
10193717,10117241,0.398
10193717,10245827,0.699
10193717,10202297,0.398
10193717,10149231,0.398
10193717,10157935,0.699
10193717,10256421,0.222
10193717,10145021,0.301
10193717,10017905,0.398
