userId,ratingId,journeyId
97,266,262
32,267,53
96,268,33
294,269,33
120,270,232
90,271,150
159,272,212
277,273,287
25,274,168
129,275,221
39,276,79
94,277,148
235,278,14
107,279,285
130,280,36
162,281,134
87,282,76
180,283,9
80,284,239
127,285,171
295,286,159
104,287,126
34,288,188
126,289,144
31,290,57
5,291,230
83,292,148
54,293,155
265,294,29
94,295,279
118,296,36
66,297,227
11,298,284
257,299,153
112,300,252
173,301,296
244,302,127
211,303,234
207,304,125
55,305,64
216,306,17
107,307,166
186,308,55
48,309,103
88,310,127
97,311,48
259,312,24
255,313,241
150,314,43
284,315,263
13,316,76
222,317,242
21,318,176
246,319,207
167,320,143
24,321,220
193,322,90
157,323,99
294,324,224
145,325,133
281,326,194
177,327,72
27,328,14
294,329,238
11,330,254
255,331,282
113,332,291
106,333,236
229,334,169
25,335,138
49,336,195
121,337,41
109,338,121
213,339,217
58,340,200
246,341,272
140,342,56
11,343,32
123,344,177
50,345,154
154,346,23
68,347,65
253,348,214
61,349,141
44,350,41
92,351,180
146,352,166
233,353,270
255,354,115
107,355,289
134,356,180
292,357,48
198,358,162
58,359,140
1,360,184
185,361,167
210,362,256
13,363,9
276,364,47
234,365,30
298,366,92
230,367,255
267,368,50
224,369,224
288,370,185
117,371,52
89,372,96
109,373,150
36,374,4
237,375,10
216,376,114
123,377,123
68,378,282
43,379,157
139,380,168
282,381,36
134,382,282
257,383,189
220,384,234
299,385,266
86,386,54
172,387,279
270,388,286
229,389,229
141,390,285
2,391,276
93,392,111
31,393,35
221,394,200
168,395,105
271,396,30
117,397,291
72,398,277
52,399,238
72,400,20
297,401,44
118,402,127
267,403,292
34,404,90
159,405,2
65,406,52
243,407,146
159,408,295
68,409,117
271,410,72
294,411,126
24,412,75
105,413,221
39,414,172
223,415,21
90,416,106
247,417,28
112,418,40
188,419,237
236,420,205
11,421,238
236,422,271
293,423,189
78,424,25
228,425,241
29,426,206
153,427,204
151,428,25
191,429,109
10,430,224
50,431,76
134,432,55
293,433,78
183,434,100
28,435,227
67,436,6
141,437,141
167,438,142
287,439,86
29,440,179
213,441,128
55,442,56
96,443,105
66,444,45
20,445,126
42,446,167
189,447,105
246,448,114
217,449,274
180,450,13
242,451,118
280,452,29
280,453,36
270,454,226
284,455,15
263,456,71
296,457,237
191,458,118
105,459,291
170,460,144
127,461,203
189,462,274
258,463,199
77,464,85
22,465,141
226,466,180
116,467,270
236,468,177
2,469,133
235,470,252
164,471,32
195,472,240
274,473,16
151,474,51
73,475,280
49,476,60
84,477,113
62,478,205
276,479,17
200,480,4
220,481,238
28,482,153
19,483,184
70,484,271
211,485,13
90,486,286
215,487,240
124,488,102
65,489,286
182,490,292
90,491,127
113,492,47
246,493,252
204,494,234
156,495,66
85,496,56
201,497,224
168,498,60
282,499,42
19,500,93
14,501,26
278,502,239
128,503,117
2,504,271
148,505,283
245,506,176
226,507,43
197,508,213
31,509,188
109,510,186
245,511,227
115,512,128
257,513,130
198,514,41
266,515,47
77,516,165
292,517,152
17,518,56
56,519,217
149,520,206
51,521,86
210,522,164
211,523,207
71,524,187
87,525,220
64,526,39
219,527,59
101,528,127
227,529,98
227,530,56
36,531,159
58,532,23
245,533,110
25,534,272
229,535,2
272,536,170
64,537,55
152,538,269
44,539,295
73,540,91
245,541,48
242,542,119
44,543,145
203,544,74
174,545,63
118,546,9
151,547,292
162,548,248
62,549,111
121,550,51
88,551,197
180,552,40
6,553,189
136,554,184
118,555,212
109,556,48
15,557,162
143,558,38
271,559,75
93,560,210
202,561,130
242,562,241
61,563,132
82,564,93
167,565,265
34,566,189
65,567,203
234,568,234
155,569,13
222,570,191
128,571,134
58,572,64
55,573,276
215,574,234
212,575,128
9,576,208
186,577,293
53,578,93
257,579,195
156,580,128
121,581,173
156,582,203
14,583,50
178,584,219
163,585,223
111,586,47
178,587,215
242,588,27
133,589,191
176,590,114
92,591,291
100,592,137
74,593,10
286,594,287
145,595,6
5,596,11
261,597,191
8,598,197
225,599,45
267,600,175
35,601,202
84,602,164
279,603,73
258,604,184
214,605,149
7,606,52
129,607,134
276,608,151
1,609,102
84,610,133
241,611,25
281,612,226
289,613,161
208,614,177
265,615,170
147,616,239
161,617,23
190,618,154
275,619,201
271,620,16
278,621,286
143,622,76
202,623,114
152,624,197
26,625,272
47,626,198
159,627,187
260,628,128
161,629,56
215,630,38
172,631,220
244,632,169
110,633,94
148,634,80
245,635,243
40,636,132
295,637,47
197,638,13
247,639,40
135,640,44
